from,to,weight
5,1,1
7,1,1
1,2,1
3,2,1
12,2,3
15,2,3
1,3,2
5,4,3
1,5,2
4,5,3
6,5,1
13,7,3
9,8,3
10,8,1
11,8,2
8,9,2
10,9,1
8,10,1
14,12,3
10,13,2
18,13,1
2,15,1
16,15,1
9,16,1
18,17,2
17,18,3
2,1,3
3,1,3
6,1,2
8,1,1
12,1,3
14,1,3
15,1,2
16,1,1
18,1,1
7,2,3
8,2,1
14,2,1
16,2,3
17,2,2
18,2,3
17,3,3
18,3,1
6,4,3
8,4,2
10,4,3
11,4,1
9,5,3
10,5,2
11,5,3
13,5,3
15,5,1
4,6,3
8,6,2
2,7,3
12,7,1
15,7,1
16,7,3
18,7,1
1,8,1
7,8,1
5,9,1
6,9,3
4,10,1
4,11,2
5,11,3
14,11,1
1,12,1
2,12,2
7,12,1
9,12,2
15,12,1
16,12,1
3,13,1
5,13,1
17,13,1
1,14,2
2,14,1
10,14,1
11,14,2
12,14,2
15,14,2
14,15,3
7,16,3
11,16,1
3,17,3
3,18,2
13,18,3
